header.poType,header.purchaseOrderNumber,header.receivedDate,header.sellerContactInfo.companyName,header.status,header.totalAmountDue
Standard,GQA10000588,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000204,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000205,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000206,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000207,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000208,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000209,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000210,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000211,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000212,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000213,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000214,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000215,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000216,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000217,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000218,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000219,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000220,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000221,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000222,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000223,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000224,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000225,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000226,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000227,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000228,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000585,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000603,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000583,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000602,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000544,Thu Feb 18 20:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000582,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000581,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000580,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000543,Thu Feb 18 20:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000579,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000578,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000577,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000576,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000575,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000601,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000574,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000542,Thu Feb 18 20:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000600,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000573,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000537,Thu Feb 18 20:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000540,Thu Feb 18 20:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000572,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000352,Thu Feb 11 13:01:08 EST 2016,Luxelite LLC,CANCEL_PENDING,44.0
Standard,GQA10000539,Thu Feb 18 20:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000599,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000254,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000255,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000256,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000257,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000258,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000259,Wed Jan 13 09:14:45 EST 2016,Luxelite LLC,RECEIVE_FAILED,25300.0
Standard,GQA10000260,Wed Jan 13 09:29:42 EST 2016,Luxelite LLC,RECEIVE_FAILED,25121.0
Standard,GQA10000261,Wed Jan 13 11:15:09 EST 2016,Luxelite LLC,RECEIVE_FAILED,24367.0
Standard,GQA10000424,Mon Feb 15 09:33:19 EST 2016,Luxelite LLC,CANCEL_PENDING,90.0
Standard,GQA10000262,Thu Jan 14 02:06:17 EST 2016,Luxelite LLC,RECEIVE_FAILED,90.0
Standard,GQA10000263,Fri Jan 15 03:51:37 EST 2016,Luxelite LLC,RECEIVE_FAILED,181.0
Standard,GQA10000264,Sat Jan 16 01:51:58 EST 2016,Luxelite LLC,RECEIVED,274.0
Standard,GQA10000265,Mon Jan 18 22:03:10 EST 2016,Luxelite LLC,RECEIVED,240.0
Standard,GQA10001151,Thu Mar 24 12:00:37 EDT 2016,Luxelite LLC,OPEN,1922.33
Standard,GQA10000267,Tue Jan 19 05:53:34 EST 2016,Luxelite LLC,RECEIVED,377.0
Standard,GQA10000271,Wed Jan 20 11:40:21 EST 2016,Luxelite LLC,RECEIVED,137.0
Standard,GQA10000066,Tue Dec 29 02:05:33 EST 2015,Luxelite LLC,RECEIVED,103.0
Standard,GQA10000073,Wed Dec 30 00:51:49 EST 2015,Luxelite LLC,RECEIVED,1258.0
Standard,GQA10000075,Wed Dec 30 08:20:55 EST 2015,Luxelite LLC,RECEIVED,137.0
Standard,GQA10000571,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000269,Wed Jan 20 09:47:16 EST 2016,Luxelite LLC,RECEIVED,134.0
Standard,GQA10000270,Wed Jan 20 09:47:25 EST 2016,Luxelite LLC,RECEIVED,271.26
Standard,GQA10000895,Tue Feb 23 16:21:08 EST 2016,Luxelite LLC 5,OPEN,134.0
Standard,GQA10000273,Thu Jan 21 09:31:47 EST 2016,Luxelite LLC,CANCELED,271.0
Standard,GQA10000275,Thu Jan 21 16:30:19 EST 2016,www.buckleguy.com (hardware),CANCEL_PENDING,215.0
Standard,GQA10000274,Thu Jan 21 16:01:52 EST 2016,www.buckleguy.com (hardware),CANCEL_PENDING,430.0
Standard,GQA10000553,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000444,Tue Feb 16 11:52:00 EST 2016,Luxelite LLC,CLOSED,90.0
Standard,GQA10000448,Thu Feb 18 01:54:23 EST 2016,Luxelite LLC,CANCELED,0.0
Standard,GQA10000617,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000618,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000450,Thu Feb 18 03:00:53 EST 2016,Luxelite LLC1,CANCELED,0.0
Standard,GQA10000279,Fri Jan 22 13:47:36 EST 2016,Luxelite LLC,CANCELED,14058.0
Standard,GQA10000280,Fri Jan 22 13:50:49 EST 2016,Luxelite LLC,CANCELED,137.0
Standard,GQA10000286,Fri Jan 29 04:05:20 EST 2016,Atelier Bettenfeld-Rosenbblum,RECEIVED,215.0
Standard,GQA10000100,Thu Dec 31 03:14:09 EST 2015,Luxelite LLC,RECEIVE_FAILED,741.0
Standard,GQA10000441,Tue Feb 16 11:37:45 EST 2016,Luxelite LLC,RECEIVED,90.0
Standard,GQA10000310,Thu Feb 11 00:53:46 EST 2016,Luxelite LLC,CANCELED,0.0
Standard,GQA10000283,Mon Jan 25 13:04:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,360.99
Standard,GQA10000284,Fri Jan 29 00:26:41 EST 2016,Luxelite LLC,RECEIVE_FAILED,0.0
Standard,GQA10000285,Fri Jan 29 00:28:17 EST 2016,Luxelite LLC,RECEIVE_FAILED,22.08
Standard,GQA10000950,Wed Mar 09 05:31:08 EST 2016,Luxelite LLC,RECEIVED,90.0
Standard,GQA10000290,Fri Jan 29 12:25:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,10.99
Standard,GQA10000287,Fri Jan 29 06:29:16 EST 2016,Luxelite LLC,RECEIVED,134.0
Standard,GQA10000288,Fri Jan 29 11:30:09 EST 2016,Luxelite LLC,RECEIVE_FAILED,156.08
Standard,GQA10000136,Fri Jan 08 06:12:09 EST 2016,Luxelite LLC,RECEIVED,125.0
Standard,GQA10000442,Tue Feb 16 11:39:59 EST 2016,Luxelite LLC,RECEIVED,90.0
Standard,GQA10000443,Tue Feb 16 11:41:05 EST 2016,Luxelite LLC,CLOSED,90.0
Standard,GQA10000294,Fri Jan 29 13:08:00 EST 2016,Luxelite LLC,RECEIVE_FAILED,10.99
Standard,GQA10000291,Fri Jan 29 12:29:04 EST 2016,Luxelite LLC,RECEIVE_FAILED,100.99
Return,GQA10000292,Fri Jan 29 12:36:18 EST 2016,Luxelite LLC,CANCELED,144.0
Standard,GQA10000293,Fri Jan 29 12:54:11 EST 2016,Luxelite LLC,RECEIVE_FAILED,23.21
Standard,GQA10000309,Thu Feb 11 00:51:37 EST 2016,Luxelite LLC,CANCELED,134.0
Standard,GQA10000307,Wed Feb 10 13:10:27 EST 2016,Luxelite LLC,CANCELED,0.0
Standard,GQA10000296,Fri Jan 29 14:17:45 EST 2016,Luxelite LLC,CLOSED,200.0
Standard,GQA1000297,Mon Feb 01 11:23:47 EST 2016,Luxelite LLC,CANCELED,271.0
Standard,GQA10000300,Tue Feb 09 09:21:46 EST 2016,Luxelite LLC,CANCELED,0.0
Standard,GQA1000299,Fri Feb 05 04:59:40 EST 2016,Luxelite LLC,RECEIVE_FAILED,101.99
Standard,GQA10000302,Wed Feb 10 03:13:21 EST 2016,=www.buckleguy.com (hardware),CANCELED,0.0
Standard,GQA10000301,Wed Feb 10 03:09:15 EST 2016,www.buckleguy.com (hardware),CANCEL_PENDING,2919.99
Standard,GQA10000949,Wed Mar 09 05:05:37 EST 2016,Luxelite LLC,RECEIVED,90.0
Standard,GQA10000303,Wed Feb 10 07:59:53 EST 2016,Luxelite LLC,RECEIVED,134.0
Standard,GQA10000124,Wed Jan 06 01:27:04 EST 2016,Luxelite LLC,RECEIVED,1258.0
Standard,GQA10000126,Wed Jan 06 02:24:25 EST 2016,Luxelite LLC,RECEIVED,147.0
Replenishment,GQA10000131,Thu Jan 07 05:52:37 EST 2016,Luxelite LLC,RECEIVED,95.0
Standard,GQA10000138,Fri Jan 08 12:54:59 EST 2016,Luxelite LLC,RECEIVED,37667.0
Standard,GQA10000188,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000239,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000240,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000241,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000242,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000243,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000244,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000245,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000246,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000247,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000248,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000249,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000250,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000251,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000252,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000253,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000268,Wed Jan 20 07:47:02 EST 2016,Luxelite LLC,RECEIVED,15949.89
Standard,GQA10000082,Wed Dec 30 13:27:29 EST 2015,Luxelite LLC,RECEIVED,137.0
Standard,GQA10000083,Wed Dec 30 13:34:00 EST 2015,Luxelite LLC,RECEIVED,78.0
Standard,GQA10000101,Thu Dec 31 03:27:42 EST 2015,Luxelite LLC,RECEIVED,90.0
Standard,GQA10000189,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000190,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000191,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000192,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000193,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000194,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000195,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000196,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000197,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000198,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000199,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000200,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000201,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
